loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36,Subject,Trial
3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,3,2,3,3,3,3,0,3,3,0,3,3,3,3,3,1,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
3,3,3,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,50
0,5,5,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,5,0,5,1,51
4,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,1,52
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,54
5,5,0,0,5,5,5,0,5,0,0,5,0,0,5,5,0,5,0,5,0,5,5,0,2,5,5,5,0,0,5,0,0,5,0,5,1,55
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,1,56
0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,1,0,0,1,57
0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,1,58
5,5,0,0,5,5,5,5,5,0,5,0,5,5,0,0,0,5,0,5,0,0,0,5,5,0,5,5,0,0,1,5,0,0,5,5,1,59
0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,1,60
6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,0,6,6,1,61
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,62
4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,1,63
3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,3,3,3,3,3,3,0,3,3,3,1,64
4,4,4,4,4,1,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,1,65
6,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,2,0,0,6,0,0,6,0,0,0,0,0,1,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,67
0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,0,4,4,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,1,68
5,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,69
3,1,0,0,3,3,3,3,0,3,3,0,0,3,0,3,3,0,3,3,0,0,0,3,3,0,0,3,3,0,0,0,3,3,0,3,1,70
0,6,6,6,6,0,6,6,6,6,0,0,2,6,0,6,0,6,0,0,0,0,6,6,6,0,6,0,0,6,6,6,0,0,0,6,1,71
0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,1,72
0,0,3,3,3,0,0,0,3,0,0,3,0,0,3,3,0,3,3,0,3,3,3,1,3,3,0,3,0,0,0,0,3,3,3,3,1,73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,75
6,0,6,6,6,0,0,6,0,6,6,6,0,0,0,6,0,0,6,0,6,0,0,6,6,0,0,6,6,2,6,6,0,6,6,0,1,76
0,0,4,4,0,4,0,4,0,4,4,0,0,1,4,0,4,4,4,0,4,4,4,0,4,4,0,0,4,4,0,4,0,4,0,0,1,77
4,4,0,0,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,1,78
3,0,3,0,0,3,0,0,3,3,0,0,3,3,0,3,0,0,3,0,3,2,3,0,3,3,3,3,3,3,0,0,0,3,0,3,1,79
5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,5,0,0,0,1,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,81
3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,82
0,0,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,83
5,5,5,5,5,5,0,5,0,5,5,5,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,1,84
0,0,0,0,0,5,1,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,85
0,2,0,0,0,5,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,1,86
0,0,0,5,0,5,0,2,0,0,0,0,0,5,0,5,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,1,87
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88
0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,6,1,89
0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,90
0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,91
0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,4,0,0,4,0,0,1,0,4,0,0,0,0,0,4,1,92
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,93
0,3,0,3,0,0,3,3,0,0,0,0,0,3,3,0,3,3,0,3,0,3,3,0,0,3,3,3,3,0,0,3,2,3,3,3,1,94
0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,95
3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,3,0,0,0,2,0,1,96
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,97
0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,98
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,99
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,100
4,0,0,4,4,4,0,0,4,0,0,4,4,4,4,4,0,0,4,0,0,4,0,0,4,4,4,0,4,1,0,4,0,0,4,4,1,101
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,103
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104
0,5,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,107
0,0,6,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,2,6,1,108
3,3,0,0,0,2,3,0,3,3,0,3,3,3,3,0,0,3,0,0,3,3,0,3,3,3,0,3,0,3,3,0,0,0,3,0,1,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,110
0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,112
0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,113
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,114
0,4,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0,2,1,115
5,5,5,0,0,0,0,5,1,5,0,0,0,5,5,5,0,0,0,5,5,5,5,0,0,5,0,0,5,5,5,0,5,0,5,5,1,116
3,3,2,3,0,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,1,117
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,118
4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,0,4,2,4,4,4,4,1,119
1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,120
0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,122
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123
0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,2,5,0,5,0,0,0,0,0,1,124
3,3,3,0,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,3,3,1,125
3,3,1,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,3,1,126
0,0,0,1,0,5,5,5,5,5,5,0,5,5,5,0,0,5,0,0,5,0,5,5,5,0,5,5,5,5,0,0,0,0,0,5,1,127
5,5,5,5,5,0,5,5,0,0,2,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,128
0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,2,0,0,4,0,1,129
4,0,4,4,0,0,0,0,4,0,0,4,4,4,0,4,0,4,4,4,2,0,4,0,0,4,0,0,4,4,0,4,4,4,4,0,1,130
0,0,3,0,3,3,3,3,0,3,0,0,3,3,1,0,3,3,3,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,1,131
4,4,4,4,4,0,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,1,132
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,133
3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0,0,3,3,3,3,3,0,3,0,3,3,3,3,3,1,134
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,135
6,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,136
4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,1,4,1,137
0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,138
3,3,3,0,3,3,3,1,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,1,139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,140
4,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,141
0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,1,142
0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,143
4,4,4,1,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,1,144
6,6,0,0,6,6,0,6,0,6,0,6,0,6,6,6,0,0,6,0,6,1,0,6,0,0,6,0,6,0,6,6,0,6,0,6,1,145
3,0,0,1,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,3,0,0,1,146
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147
4,0,4,4,4,0,0,0,0,4,0,0,4,4,4,4,4,0,4,0,4,0,4,4,0,1,0,4,4,0,4,0,0,4,4,0,1,148
0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,149
3,3,3,0,3,0,0,0,0,0,0,3,3,3,2,3,3,3,3,0,3,0,3,0,3,0,0,3,3,3,3,0,3,0,0,0,1,150
0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,1,1,151
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,153
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,154
5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,1,5,0,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,1,155
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,0,6,6,0,6,1,157
4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,0,1,0,0,0,0,4,0,0,0,4,1,158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,159
0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,160
0,6,0,6,0,6,6,0,6,6,0,0,0,6,6,2,6,0,0,6,6,6,0,0,6,6,6,0,0,6,0,6,0,6,6,0,1,161
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,0,3,1,3,3,1,162
3,3,3,3,0,0,0,0,3,0,3,3,3,0,0,3,0,3,3,0,0,3,0,0,3,3,0,3,2,3,0,0,3,3,0,3,1,163
0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,166
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167
6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,1,6,6,0,6,6,6,6,6,6,0,0,6,6,6,6,6,6,1,168
0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,1,0,0,5,5,0,5,0,0,0,0,0,0,5,5,0,1,169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,170
0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,1,171
3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,0,1,172
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,173
3,3,3,0,1,3,0,0,3,0,3,3,3,0,0,3,3,0,0,3,0,0,3,0,3,0,3,3,3,0,0,3,0,3,0,3,1,174
5,5,5,5,0,0,5,5,5,5,5,0,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,1,175
0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,0,6,6,1,6,6,6,6,6,6,6,1,176
5,0,5,5,0,0,5,0,0,5,5,0,5,5,5,5,0,0,5,0,0,0,0,5,5,2,5,5,5,5,0,5,0,0,5,0,1,177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,178
0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0,0,1,179
0,0,3,3,0,0,1,0,0,0,0,3,0,0,0,0,3,3,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,1,180
