Subject,Trial,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
1,27,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2
1,28,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2,0,2,2,2,2,2,1,2,2,0,0,2,0,0,0,2,2,2,0,2,0
1,29,0,0,0,0,0,3,0,3,0,0,0,0,3,1,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0
1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,0,0,0,3,0,3,0,3,0,0,3,1,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
1,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
1,34,2,0,2,0,2,0,1,0,2,2,0,2,0,2,2,2,0,0,2,2,2,0,2,0,2,0,2,2,0,0,2,2,0,0,2,0
1,35,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,36,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,3,3,0,1,3,0,3,3,3,3,3,3,3,3
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,39,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0
1,40,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2
1,41,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,42,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,2
1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,44,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,45,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,1,0,0
1,46,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1,47,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,1,2,2,2,2,0,2,2,0,2,2,2,2,2
1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,49,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,51,0,3,3,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,3
1,52,2,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0
1,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,55,3,3,0,0,3,3,3,0,3,0,0,3,0,0,3,3,0,3,0,3,0,3,3,0,1,3,3,3,0,0,3,0,0,3,0,3
1,56,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2
1,57,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0
1,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0
1,59,3,3,0,0,3,3,3,3,3,0,3,0,3,3,0,0,0,3,0,3,0,0,0,3,3,0,3,3,0,0,1,3,0,0,3,3
1,60,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
1,61,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,0,3,3
1,62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,63,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2
1,64,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,0,2,2,2
1,65,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2
1,66,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,1,0,0,3,0,0,3,0,0,0,0,0
1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,68,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2
1,69,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,70,2,1,0,0,2,2,2,2,0,2,2,0,0,2,0,2,2,0,2,2,0,0,0,2,2,0,0,2,2,0,0,0,2,2,0,2
1,71,0,3,3,3,3,0,3,3,3,3,0,0,1,3,0,3,0,3,0,0,0,0,3,3,3,0,3,0,0,3,3,3,0,0,0,3
1,72,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1
1,73,0,0,2,2,2,0,0,0,2,0,0,2,0,0,2,2,0,2,2,0,2,2,2,1,2,2,0,2,0,0,0,0,2,2,2,2
1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1,76,3,0,3,3,3,0,0,3,0,3,3,3,0,0,0,3,0,0,3,0,3,0,0,3,3,0,0,3,3,1,3,3,0,3,3,0
1,77,0,0,2,2,0,2,0,2,0,2,2,0,0,1,2,0,2,2,2,0,2,2,2,0,2,2,0,0,2,2,0,2,0,2,0,0
1,78,2,2,0,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
1,79,2,0,2,0,0,2,0,0,2,2,0,0,2,2,0,2,0,0,2,0,2,1,2,0,2,2,2,2,2,2,0,0,0,2,0,2
1,80,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,0
1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1,82,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1,83,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,84,3,3,3,3,3,3,0,3,0,3,3,3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3
1,85,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,86,0,1,0,0,0,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,3,0
1,87,0,0,0,3,0,3,0,1,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0
1,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,89,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3
1,90,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,91,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
1,92,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,1,0,2,0,0,0,0,0,2
1,93,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,94,0,2,0,2,0,0,2,2,0,0,0,0,0,2,2,0,2,2,0,2,0,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2
1,95,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,96,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,0,0,0,1,0
1,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1,98,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,101,2,0,0,2,2,2,0,0,2,0,0,2,2,2,2,2,0,0,2,0,0,2,0,0,2,2,2,0,2,1,0,2,0,0,2,2
1,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
1,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,108,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,1,3
1,109,2,2,0,0,0,1,2,0,2,2,0,2,2,2,2,0,0,2,0,0,2,2,0,2,2,2,0,2,0,2,2,0,0,0,2,0
1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,111,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,113,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,114,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
1,115,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,1
1,116,3,3,3,0,0,0,0,3,1,3,0,0,0,3,3,3,0,0,0,3,3,3,3,0,0,3,0,0,3,3,3,0,3,0,3,3
1,117,2,2,1,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
1,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,119,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,1,2,2,2,2
1,120,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,121,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,124,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,1,3,0,3,0,0,0,0,0
1,125,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2
1,126,2,2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2
1,127,0,0,0,1,0,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,3,0,3,3,3,0,3,3,3,3,0,0,0,0,0,3
1,128,3,3,3,3,3,0,3,3,0,0,1,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,129,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,1,0,0,2,0
1,130,2,0,2,2,0,0,0,0,2,0,0,2,2,2,0,2,0,2,2,2,1,0,2,0,0,2,0,0,2,2,0,2,2,2,2,0
1,131,0,0,2,0,2,2,2,2,0,2,0,0,2,2,1,0,2,2,2,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0
1,132,2,2,2,2,2,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2
1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
1,134,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2,0,2,2,2,2,2
1,135,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,136,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
1,137,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,1,2
1,138,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
1,139,2,2,2,0,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2
1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,141,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
1,142,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
1,143,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
1,144,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
1,145,3,3,0,0,3,3,0,3,0,3,0,3,0,3,3,3,0,0,3,0,3,1,0,3,0,0,3,0,3,0,3,3,0,3,0,3
1,146,2,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,2,0,0
1,147,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,148,2,0,2,2,2,0,0,0,0,2,0,0,2,2,2,2,2,0,2,0,2,0,2,2,0,1,0,2,2,0,2,0,0,2,2,0
1,149,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1,150,2,2,2,0,2,0,0,0,0,0,0,2,2,2,1,2,2,2,2,0,2,0,2,0,2,0,0,2,2,2,2,0,2,0,0,0
1,151,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1
1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1,154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,155,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,1,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,157,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,0,3,3,0,3
1,158,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,0,2
1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,160,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,161,0,3,0,3,0,3,3,0,3,3,0,0,0,3,3,1,3,0,0,3,3,3,0,0,3,3,3,0,0,3,0,3,0,3,3,0
1,162,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2
1,163,2,2,2,2,0,0,0,0,2,0,2,2,2,0,0,2,0,2,2,0,0,2,0,0,2,2,0,2,1,2,0,0,2,2,0,2
1,164,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,167,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,168,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,1,3,3,0,3,3,3,3,3,3,0,0,3,3,3,3,3,3
1,169,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0,0,3,3,0,3,0,0,0,0,0,0,3,3,0
1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,171,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0
1,172,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,0
1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1,174,2,2,2,0,1,2,0,0,2,0,2,2,2,0,0,2,2,0,0,2,0,0,2,0,2,0,2,2,2,0,0,2,0,2,0,2
1,175,3,3,3,3,0,0,3,3,3,3,3,0,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
1,176,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,1,3,3,3,3,3,3,3
1,177,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,0,0,3,0,0,0,0,3,3,1,3,3,3,3,0,3,0,0,3,0
1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,179,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0
1,180,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
